id,AgeGroup,Category,MilestoneDescription,min_age,max_age
136,36,Cognitive,Draws a circle when shown how,30,36
137,36,Cognitive,Avoids touching hot objects when warned,30,36
138,36,Physical,Strings items together,30,36
139,36,Physical,Puts on some clothes by himself,30,36
140,36,Physical,Uses a fork,30,36
141,48,Social,Pretends to be something else,36,48
142,48,Social,Asks to play with other children,36,48
143,48,Social,Comforts others who are hurt or sad,36,48
144,48,Social,Avoids danger like tall heights,36,48
145,48,Social,Likes to be a helper,36,48
146,48,Social,Changes behavior based on location,36,48
147,48,Language,Says sentences with 4 or more words,36,48
148,48,Language,Sings songs or rhymes,36,48
149,48,Language,Talks about her day,36,48
150,48,Language,Answers simple questions,36,48
151,48,Cognitive,Names a few colors,36,48
152,48,Cognitive,Tells what comes next in a well known story,36,48
153,48,Cognitive,Draws a person with 3 or more body parts,36,48
154,48,Physical,Catches a large ball most of the time,36,48
155,48,Physical,Serves herself food or pours water while supervised,36,48
156,48,Physical,Unbuttons some buttons,36,48
157,48,Physical,Holds crayon or pencil between fingers and thumb,36,48
158,60,Social,Follows rules or takes turns,48,60
159,60,Social,Sings dances or acts for you,48,60
160,60,Social,Does simple chores at home,48,60
161,60,Language,Tells a story with at least two events,48,60
162,60,Language,Answers questions about a story,48,60
163,60,Language,Keeps conversation going for 3 plus exchanges,48,60
164,60,Language,Recognizes simple rhymes,48,60
165,60,Cognitive,Counts to 10,48,60
166,60,Cognitive,Names some numbers between 1 and 5,48,60
167,60,Cognitive,Uses words about time like yesterday tomorrow,48,60
168,60,Cognitive,Pays attention for 5 to 10 minutes,48,60
169,60,Cognitive,Writes some letters in her name,48,60
170,60,Physical,Buttons some buttons,48,60
171,60,Physical,Hops on one foot,48,60
